year,month,day_idx,day,domain_group,domain_label,model_variant,model_label,vecchia_loss_per_obs,mean_y2,max_abs_bridge_scaled,local_eigen_rank,n_scores,mean_y2_over_expected,lambda_mean,lambda_sd,lambda_min,lambda_p10,lambda_p25,lambda_median,lambda_p75,lambda_p90,lambda_max
2023,7,0,2023-07-01,full,full,matern_s03,Matern s=0.3 nugget0 lag432,1.310355,1.000060,7.835475,1,9268,0.950697,31.650663,14.830370,4.007947,19.972087,20.899570,27.014313,39.446480,46.981596,114.641935
2023,7,0,2023-07-01,full,full,matern_s03,Matern s=0.3 nugget0 lag432,1.310355,1.000060,7.835475,2,9258,0.925272,11.611670,2.602943,2.669360,8.904062,9.093820,10.803119,13.949827,14.919625,24.146733
2023,7,0,2023-07-01,full,full,matern_s03,Matern s=0.3 nugget0 lag432,1.310355,1.000060,7.835475,3,9251,1.004047,10.243982,2.577859,2.537857,8.214804,8.238822,9.284869,12.344225,14.083430,17.968517
2023,7,0,2023-07-01,full,full,matern_s03,Matern s=0.3 nugget0 lag432,1.310355,1.000060,7.835475,4,9244,0.974262,6.417650,0.841659,2.484938,5.741387,5.766861,6.233902,7.144655,7.513329,9.272143
2023,7,0,2023-07-01,full,full,matern_s03,Matern s=0.3 nugget0 lag432,1.310355,1.000060,7.835475,5,9235,1.051458,5.548347,0.666539,2.551728,5.074313,5.106429,5.497556,6.076302,6.299777,7.814999
2023,7,0,2023-07-01,full,full,matern_s03,Matern s=0.3 nugget0 lag432,1.310355,1.000060,7.835475,6,9220,1.063362,5.019448,0.598124,2.463549,4.631178,4.643730,5.005088,5.546302,5.690853,6.462885
2023,7,0,2023-07-01,full,full,matern_s03,Matern s=0.3 nugget0 lag432,1.310355,1.000060,7.835475,7,9209,1.060285,4.320269,0.361889,2.458793,4.156104,4.176656,4.327504,4.558123,4.622422,5.445248
2023,7,0,2023-07-01,full,full,matern_s03,Matern s=0.3 nugget0 lag432,1.310355,1.000060,7.835475,8,9191,0.990182,4.118012,0.351048,2.390822,3.993083,3.999594,4.137151,4.329170,4.423799,5.227712
2023,7,0,2023-07-01,full,full,matern_s03,Matern s=0.3 nugget0 lag432,1.310355,1.000060,7.835475,9,8841,1.055449,3.837334,0.136113,2.438236,3.753389,3.764448,3.829619,3.923429,3.948571,4.522747
2023,7,0,2023-07-01,full,full,matern_s03,Matern s=0.3 nugget0 lag432,1.310355,1.000060,7.835475,10,8811,1.066865,3.545840,0.122081,2.497835,3.454267,3.457466,3.555530,3.605873,3.679462,4.074177
2023,7,0,2023-07-01,full,full,matern_s03,Matern s=0.3 nugget0 lag432,1.310355,1.000060,7.835475,11,8794,1.016651,3.482012,0.104574,2.419002,3.417247,3.432922,3.478315,3.546740,3.562794,3.891495
2023,7,0,2023-07-01,full,full,matern_s03,Matern s=0.3 nugget0 lag432,1.310355,1.000060,7.835475,12,8762,1.097792,3.430422,0.113786,2.414813,3.405732,3.415475,3.442215,3.484249,3.500921,3.707812
2023,7,0,2023-07-01,full,full,matern_s03,Matern s=0.3 nugget0 lag432,1.310355,1.000060,7.835475,13,8553,0.932534,3.274454,0.078905,2.456946,3.235990,3.239643,3.268405,3.307424,3.326757,3.596171
2023,7,0,2023-07-01,full,full,matern_s03,Matern s=0.3 nugget0 lag432,1.310355,1.000060,7.835475,14,8513,0.978396,3.093231,0.068328,2.416732,3.065801,3.072326,3.087869,3.100297,3.161557,3.423484
2023,7,0,2023-07-01,full,full,matern_s03,Matern s=0.3 nugget0 lag432,1.310355,1.000060,7.835475,15,8440,0.905715,3.018897,0.058444,2.196239,3.002927,3.006994,3.020704,3.031674,3.053444,3.249466
2023,7,0,2023-07-01,full,full,matern_s03,Matern s=0.3 nugget0 lag432,1.310355,1.000060,7.835475,16,8282,0.916336,2.848237,0.057264,2.385975,2.839423,2.841938,2.846847,2.851652,2.885843,3.062125
2023,7,0,2023-07-01,full,full,gc_a075_b1,Baseline GC a=0.75 b=1 nugget0 lag432,1.309586,1.000046,8.241083,1,9268,1.027367,28.382049,12.121042,4.000385,18.918230,19.623065,24.763057,34.807471,41.014381,121.444290
2023,7,0,2023-07-01,full,full,gc_a075_b1,Baseline GC a=0.75 b=1 nugget0 lag432,1.309586,1.000046,8.241083,2,9258,0.957213,11.019044,2.113890,2.662690,8.789732,8.937673,10.416015,12.965483,13.742818,20.117496
2023,7,0,2023-07-01,full,full,gc_a075_b1,Baseline GC a=0.75 b=1 nugget0 lag432,1.309586,1.000046,8.241083,3,9251,1.038230,9.832479,2.157095,2.537077,8.164185,8.188621,9.119118,11.723110,13.001546,15.466459
2023,7,0,2023-07-01,full,full,gc_a075_b1,Baseline GC a=0.75 b=1 nugget0 lag432,1.309586,1.000046,8.241083,4,9244,0.980343,6.371218,0.753233,2.479119,5.782362,5.802853,6.227280,7.031289,7.321240,8.862454
2023,7,0,2023-07-01,full,full,gc_a075_b1,Baseline GC a=0.75 b=1 nugget0 lag432,1.309586,1.000046,8.241083,5,9235,1.049314,5.549948,0.625604,2.549775,5.131294,5.162806,5.519223,6.037993,6.229578,7.446961
2023,7,0,2023-07-01,full,full,gc_a075_b1,Baseline GC a=0.75 b=1 nugget0 lag432,1.309586,1.000046,8.241083,6,9220,1.056677,5.050294,0.568041,2.458974,4.706262,4.720347,5.055360,5.543620,5.656621,6.308519
2023,7,0,2023-07-01,full,full,gc_a075_b1,Baseline GC a=0.75 b=1 nugget0 lag432,1.309586,1.000046,8.241083,7,9209,1.048499,4.372353,0.360218,2.453363,4.221271,4.241856,4.386260,4.600825,4.655118,5.415226
2023,7,0,2023-07-01,full,full,gc_a075_b1,Baseline GC a=0.75 b=1 nugget0 lag432,1.309586,1.000046,8.241083,8,9191,0.977941,4.175107,0.352963,2.383123,4.062575,4.069284,4.200115,4.385137,4.465121,5.215967
2023,7,0,2023-07-01,full,full,gc_a075_b1,Baseline GC a=0.75 b=1 nugget0 lag432,1.309586,1.000046,8.241083,9,8841,1.037943,3.903084,0.134923,2.433204,3.823713,3.835020,3.897118,3.984476,4.009592,4.551043
2023,7,0,2023-07-01,full,full,gc_a075_b1,Baseline GC a=0.75 b=1 nugget0 lag432,1.309586,1.000046,8.241083,10,8811,1.045497,3.613433,0.122038,2.498733,3.526243,3.529765,3.620699,3.670824,3.747863,4.133439
2023,7,0,2023-07-01,full,full,gc_a075_b1,Baseline GC a=0.75 b=1 nugget0 lag432,1.309586,1.000046,8.241083,11,8794,0.999024,3.541514,0.106923,2.414330,3.476027,3.493106,3.540569,3.604565,3.621278,3.944236
