year,domain_group,domain_label,model_variant,rank_hi,rank_lo,n_days,lambda_iqr_gap_mean,overlap_rate
2023,full,full,fine_tuned_gc,1,2,1,6.601903,0.000000
2023,full,full,fine_tuned_gc,2,3,1,-2.728669,1.000000
2023,full,full,fine_tuned_gc,3,4,1,1.155760,0.000000
2023,full,full,fine_tuned_gc,4,5,1,-0.219355,1.000000
2023,full,full,fine_tuned_gc,5,6,1,-0.366857,1.000000
2023,full,full,fine_tuned_gc,6,7,1,0.125317,0.000000
2023,full,full,fine_tuned_gc,7,8,1,-0.135283,1.000000
2023,full,full,fine_tuned_gc,8,9,1,0.087241,0.000000
2023,full,full,fine_tuned_gc,9,10,1,0.161586,0.000000
2023,full,full,fine_tuned_gc,10,11,1,-0.070329,1.000000
2023,full,full,fine_tuned_gc,11,12,1,-0.049449,1.000000
2023,full,full,fine_tuned_gc,12,13,1,0.107500,0.000000
2023,full,full,fine_tuned_gc,13,14,1,0.149351,0.000000
2023,full,full,fine_tuned_gc,14,15,1,0.040099,0.000000
2023,full,full,fine_tuned_gc,15,16,1,0.162203,0.000000
2023,full,full,gc_a075_b1,1,2,1,6.657582,0.000000
2023,full,full,gc_a075_b1,2,3,1,-2.785437,1.000000
2023,full,full,gc_a075_b1,3,4,1,1.157332,0.000000
2023,full,full,gc_a075_b1,4,5,1,-0.235140,1.000000
2023,full,full,gc_a075_b1,5,6,1,-0.380814,1.000000
2023,full,full,gc_a075_b1,6,7,1,0.119522,0.000000
2023,full,full,gc_a075_b1,7,8,1,-0.143281,1.000000
2023,full,full,gc_a075_b1,8,9,1,0.084808,0.000000
2023,full,full,gc_a075_b1,9,10,1,0.164197,0.000000
2023,full,full,gc_a075_b1,10,11,1,-0.074800,1.000000
2023,full,full,gc_a075_b1,11,12,1,-0.051989,1.000000
2023,full,full,gc_a075_b1,12,13,1,0.108547,0.000000
2023,full,full,gc_a075_b1,13,14,1,0.150962,0.000000
2023,full,full,gc_a075_b1,14,15,1,0.040463,0.000000
2023,full,full,gc_a075_b1,15,16,1,0.164742,0.000000
2023,full,full,matern_s03,1,2,1,6.949742,0.000000
2023,full,full,matern_s03,2,3,1,-3.250405,1.000000
2023,full,full,matern_s03,3,4,1,1.094167,0.000000
2023,full,full,matern_s03,4,5,1,-0.309441,1.000000
2023,full,full,matern_s03,5,6,1,-0.439873,1.000000
2023,full,full,matern_s03,6,7,1,0.085607,0.000000
2023,full,full,matern_s03,7,8,1,-0.152514,1.000000
2023,full,full,matern_s03,8,9,1,0.076165,0.000000
2023,full,full,matern_s03,9,10,1,0.158575,0.000000
2023,full,full,matern_s03,10,11,1,-0.089275,1.000000
2023,full,full,matern_s03,11,12,1,-0.051327,1.000000
2023,full,full,matern_s03,12,13,1,0.108051,0.000000
2023,full,full,matern_s03,13,14,1,0.139345,0.000000
2023,full,full,matern_s03,14,15,1,0.040651,0.000000
2023,full,full,matern_s03,15,16,1,0.155342,0.000000
