lanczos_steps,band,rank_start,rank_end,eigen_fraction_mid,exact_mode_count,slq_mode_count,exact_energy,lanczos_energy,exact_energy_per_mode,matrix_free_energy_per_mode,energy_per_mode_error
32,1,1,160,0.025,160,149.32717271873756,374.9951792762655,358.7897526266336,2.3437198704766593,2.402709072262591,0.05898920178593148
32,2,161,320,0.075,160,162.04022987665078,193.40789312340553,175.9038196685143,1.2087993320212846,1.0855564683067707,-0.12324286371451398
32,3,321,480,0.125,160,103.94452372769842,162.70638450581066,229.46622321574966,1.0169149031613167,2.2075835742619607,1.190668671100644
32,4,481,640,0.175,160,144.71098191063612,143.11276696133064,174.98413314092045,0.8944547935083165,1.2091973313330084,0.31474253782469197
32,5,641,800,0.225,160,213.1941417747356,136.1234824136992,0.0,0.85077176508562,0.0,-0.85077176508562
32,6,801,960,0.275,160,329.0333867778645,103.7158355749192,211.91471399415627,0.648223972343245,0.6440523135642254,-0.004171658779019594
32,7,961,1120,0.325,160,0.0,102.13570186140964,0.0,0.6383481366338103,,
32,8,1121,1280,0.375,160,0.0,98.27939775275058,282.03916822283804,0.6142462359546912,,
32,9,1281,1440,0.425,160,428.24571729321747,94.91230158676444,0.0,0.5932018849172778,0.0,-0.5932018849172778
32,10,1441,1600,0.475,160,0.0,137.73875928090365,0.0,0.8608672455056479,,
32,11,1601,1760,0.525,160,0.0,129.7735797762432,428.2836429339229,0.8110848736015199,,
32,12,1761,1920,0.575,160,518.4608445174761,124.91943065414125,0.0,0.7807464415883828,0.0,-0.7807464415883828
32,13,1921,2080,0.625,160,0.0,152.9734767315158,0.0,0.9560842295719738,,
32,14,2081,2240,0.675,160,0.0,147.17132531487846,422.39946096355357,0.9198207832179903,,
32,15,2241,2400,0.725,160,458.9770556550293,126.85656713435947,0.0,0.7928535445897467,0.0,-0.7928535445897467
32,16,2401,2560,0.775,160,0.0,152.86060070386065,0.0,0.9553787543991291,,
32,17,2561,2720,0.825,160,161.57391565243643,140.10663454630367,373.7675556501713,0.8756664659143979,2.3132914377973433,1.4376249718829452
32,18,2721,2880,0.875,160,235.5976480829895,133.22867540672178,0.0,0.8326792212920111,0.0,-0.8326792212920111
32,19,2881,3040,0.925,160,24.34138456452365,168.7537964651624,260.29536534444605,1.054711227907265,10.693531612980369,9.638820385073103
32,20,3041,3200,0.975,160,270.5529974480055,155.0514220662867,60.97937537582038,0.9690713879142919,0.22538791272323389,-0.743683475191058
64,1,1,160,0.025,160,161.01762020779648,374.9951792762655,375.07937479598303,2.3437198704766593,2.329430619530555,-0.014289250946104115
64,2,161,320,0.075,160,166.3034498576219,193.40789312340553,195.361097930178,1.2087993320212846,1.1747266704174408,-0.03407266160384381
64,3,321,480,0.125,160,169.00493733199414,162.70638450581066,167.83952712557937,1.0169149031613167,0.9931042830770948,-0.023810620084221967
64,4,481,640,0.175,160,161.58628959984122,143.11276696133064,153.28300741697615,0.8944547935083165,0.9486139436493798,0.05415915014106332
64,5,641,800,0.225,160,142.77452675054644,136.1234824136992,99.61517123864519,0.85077176508562,0.6977096930791538,-0.15306207200646627
64,6,801,960,0.275,160,157.14693151148538,103.7158355749192,93.5373621997519,0.648223972343245,0.5952223266473106,-0.05300164569593446
64,7,961,1120,0.325,160,182.56041031842244,102.13570186140964,119.44537780504493,0.6383481366338103,0.6542786445139334,0.015930507880123068
64,8,1121,1280,0.375,160,208.33881047881528,98.27939775275058,135.16804051129452,0.6142462359546912,0.648789537583728,0.03454330162903685
64,9,1281,1440,0.425,160,0.0,94.91230158676444,0.0,0.5932018849172778,,
64,10,1441,1600,0.475,160,232.14134401121555,137.73875928090365,168.4384400346189,0.8608672455056479,0.7255857019009981,-0.13528154360464972
64,11,1601,1760,0.525,160,267.6340962228635,129.7735797762432,208.76357514074948,0.8110848736015199,0.7800335535981502,-0.031051320003369742
64,12,1761,1920,0.575,160,0.0,124.91943065414125,0.0,0.7807464415883828,,
64,13,1921,2080,0.625,160,255.05791479948994,152.9734767315158,235.497416356063,0.9560842295719738,0.9233095806542443,-0.03277464891772952
64,14,2081,2240,0.675,160,201.76612555468046,147.17132531487846,204.74000710809514,0.9198207832179903,1.0147392509284654,0.09491846771047507
64,15,2241,2400,0.725,160,30.360947970285906,126.85656713435947,0.0,0.7928535445897467,0.0,-0.7928535445897467
64,16,2401,2560,0.775,160,226.8633835670953,152.86060070386065,206.92012625033476,0.9553787543991291,0.9120913344269932,-0.04328741997213592
64,17,2561,2720,0.825,160,204.56614544578542,140.10663454630367,186.10169022080981,0.8756664659143979,0.9097384604635419,0.034071994549144
64,18,2721,2880,0.875,160,158.89018811425194,133.22867540672178,184.50288944992008,0.8326792212920111,1.1611975014923577,0.32851828020034657
64,19,2881,3040,0.925,160,108.97682536459342,168.7537964651624,136.1524740354671,1.054711227907265,1.2493708967934667,0.19465966888620168
64,20,3041,3200,0.975,160,165.0100528932153,155.0514220662867,108.37763351722151,0.9690713879142919,0.6567941262788218,-0.3122772616354701
128,1,1,160,0.025,160,157.26170214228836,374.9951792762655,373.1844097045626,2.3437198704766593,2.373015200909565,0.029295330432905775
128,2,161,320,0.075,160,150.31237253710805,193.40789312340553,204.60875560049266,1.2087993320212846,1.3612236447800083,0.1524243127587237
128,3,321,480,0.125,160,175.20985639404927,162.70638450581066,153.50144219844424,1.0169149031613167,0.8761004966137149,-0.1408144065476018
128,4,481,640,0.175,160,152.42485907772294,143.11276696133064,134.9830659422629,0.8944547935083165,0.8855712037984151,-0.00888358970990133
128,5,641,800,0.225,160,161.98642104641965,136.1234824136992,136.37173451304545,0.85077176508562,0.8418713965781495,-0.008900368507470557
128,6,801,960,0.275,160,143.0531645232512,103.7158355749192,91.34542948744934,0.648223972343245,0.6385418301781256,-0.009682142165119423
128,7,961,1120,0.325,160,168.72612527761976,102.13570186140964,109.75384107782406,0.6383481366338103,0.6504851628474045,0.012137026213594249
128,8,1121,1280,0.375,160,193.56562498834978,98.27939775275058,121.91695357886624,0.6142462359546912,0.6298481643432511,0.015601928388559894
128,9,1281,1440,0.425,160,104.30322406569394,94.91230158676444,61.5191770087788,0.5932018849172778,0.5898108860952543,-0.0033909988220234277
128,10,1441,1600,0.475,160,222.75517170824833,137.73875928090365,178.95167968869373,0.8608672455056479,0.8033558921050513,-0.05751135340059654
128,11,1601,1760,0.525,160,127.02997510064733,129.7735797762432,101.71369776556548,0.8110848736015199,0.8007062717675614,-0.010378601833958556
128,12,1761,1920,0.575,160,136.83961259201578,124.91943065414125,107.27303134876183,0.7807464415883828,0.7839325858703938,0.0031861442820110275
128,13,1921,2080,0.625,160,126.74573504166506,152.9734767315158,217.25604818191482,0.9560842295719738,1.7141093395410611,0.7580251099690873
128,14,2081,2240,0.675,160,214.45090291629936,147.17132531487846,98.34439732838905,0.9198207832179903,0.4585870051886565,-0.4612337780293338
128,15,2241,2400,0.725,160,112.38227634843906,126.85656713435947,93.55649502419737,0.7928535445897467,0.8324844278303037,0.03963088324055708
128,16,2401,2560,0.775,160,215.14923179270863,152.86060070386065,195.01181817222232,0.9553787543991291,0.9064025771661214,-0.048976177233007734
128,17,2561,2720,0.825,160,127.40971401044499,140.10663454630367,176.4889977134726,0.8756664659143979,1.3852083342640902,0.5095418683496923
128,18,2721,2880,0.875,160,161.83068097975047,133.22867540672178,75.06070992490004,0.8326792212920111,0.46382249317910385,-0.36885672811290726
128,19,2881,3040,0.925,160,176.18000306899785,168.7537964651624,176.47024863195975,1.054711227907265,1.0016474376087292,-0.05306379029853581
128,20,3041,3200,0.975,160,172.3833463882802,155.0514220662867,171.51127824492687,0.9690713879142919,0.9949411114146197,0.02586972350032779
256,1,1,160,0.025,160,158.3863020939973,374.9951792762655,374.10193083344194,2.3437198704766593,2.3619588682070765,0.01823899773041715
256,2,161,320,0.075,160,153.40822260016097,193.40789312340553,192.52819421157977,1.2087993320212846,1.2550057027476293,0.0462063707263447
256,3,321,480,0.125,160,159.05670975873085,162.70638450581066,160.11753096313817,1.0169149031613167,1.0066694527129125,-0.010245450448404192
256,4,481,640,0.175,160,158.86100555847406,143.11276696133064,144.39568484760196,0.8944547935083165,0.908943540549681,0.014488747041364491
256,5,641,800,0.225,160,160.40694847114003,136.1234824136992,134.23603732429171,0.85077176508562,0.8368467738069532,-0.013924991278666865
256,6,801,960,0.275,160,155.429998900868,103.7158355749192,101.74003812144826,0.648223972343245,0.6545714394962922,0.006347467153047126
256,7,961,1120,0.325,160,147.49860895893767,102.13570186140964,115.98459840200417,0.6383481366338103,0.786343676192182,0.14799553955837175
256,8,1121,1280,0.375,160,167.31151959223644,98.27939775275058,85.01957163610814,0.6142462359546912,0.508151332575986,-0.1060949033787052
256,9,1281,1440,0.425,160,185.53207943351572,94.91230158676444,114.64693713429756,0.5932018849172778,0.6179359250666976,0.024734040149419823
256,10,1441,1600,0.475,160,146.8931302166402,137.73875928090365,125.51522547284253,0.8608672455056479,0.8544662727775681,-0.006400972728079712
256,11,1601,1760,0.525,160,163.406856038951,129.7735797762432,130.91431027794715,0.8110848736015199,0.8011555540040581,-0.009929319597461794
256,12,1761,1920,0.575,160,126.66216176188095,124.91943065414125,146.2811215165766,0.7807464415883828,1.1548920331201862,0.3741455915318034
256,13,1921,2080,0.625,160,164.17876048742346,152.9734767315158,145.44537687889556,0.9560842295719738,0.8858964244040389,-0.07018780516793488
256,14,2081,2240,0.675,160,186.4625166774108,147.17132531487846,133.346779045816,0.9198207832179903,0.7151398652229519,-0.2046809179950384
256,15,2241,2400,0.725,160,153.41862901347304,126.85656713435947,120.11173934061071,0.7928535445897467,0.7829019207964806,-0.009951623793266084
256,16,2401,2560,0.775,160,155.46715318427368,152.86060070386065,168.26296806352093,0.9553787543991291,1.0823055842804332,0.1269268298813041
256,17,2561,2720,0.825,160,161.28310154435167,140.10663454630367,123.93592166671124,0.8756664659143979,0.768437117589965,-0.10722934832443287
256,18,2721,2880,0.875,160,169.75553817446553,133.22867540672178,142.7131618254025,0.8326792212920111,0.8406981201327857,0.008018898840774558
256,19,2881,3040,0.925,160,155.58493544469457,168.7537964651624,151.64460784494258,1.054711227907265,0.9746741058927737,-0.08003712201449131
256,20,3041,3200,0.975,160,170.99582208837273,155.0514220662867,167.88147572955222,0.9690713879142919,0.9817870032098739,0.012715615295581961
512,1,1,160,0.025,160,158.42385233523763,374.9951792762655,374.99517927626374,2.3437198704766593,2.3670373731522685,0.02331750267560917
512,2,161,320,0.075,160,153.89105323848472,193.40789312340553,193.08898886517926,1.2087993320212846,1.2547122448109416,0.04591291278965692
512,3,321,480,0.125,160,159.26855521571173,162.70638450581066,163.3645418363716,1.0169149031613167,1.0257174846291053,0.008802581467788562
512,4,481,640,0.175,160,161.4112799329729,143.11276696133064,143.4864969168674,0.8944547935083165,0.8889496259273275,-0.005505167580988957
512,5,641,800,0.225,160,157.77025259184825,136.1234824136992,133.22443429250814,0.85077176508562,0.8444204918474704,-0.006351273238149657
512,6,801,960,0.275,160,163.20807331643584,103.7158355749192,108.21096491199,0.648223972343245,0.6630245839749929,0.01480061163174784
512,7,961,1120,0.325,160,154.0360690761746,102.13570186140964,98.14471259148422,0.6383481366338103,0.6371540976091078,-0.001194039024702498
512,8,1121,1280,0.375,160,155.9141528992791,98.27939775275058,98.06659168430883,0.6142462359546912,0.6289781258514747,0.014731889896783534
512,9,1281,1440,0.425,160,157.0484077028625,94.91230158676444,91.84317307028027,0.5932018849172778,0.5848080500379773,-0.008393834879300455
512,10,1441,1600,0.475,160,156.80747688326687,137.73875928090365,136.76605064089654,0.8608672455056479,0.8721908760939384,0.011323630588290556
512,11,1601,1760,0.525,160,166.46102570310882,129.7735797762432,144.64076417477077,0.8110848736015199,0.8689166942461622,0.05783182064464232
512,12,1761,1920,0.575,160,168.09407621587275,124.91943065414125,118.53294920220128,0.7807464415883828,0.7051583962422138,-0.07558804534616903
512,13,1921,2080,0.625,160,156.06060666500775,152.9734767315158,149.3273641313226,0.9560842295719738,0.9568549509221222,0.00077072135014844
512,14,2081,2240,0.675,160,154.79775430588097,147.17132531487846,147.03466036088025,0.9198207832179903,0.949850086780582,0.030029303562591703
512,15,2241,2400,0.725,160,171.601256515763,126.85656713435947,131.41170119965136,0.7928535445897467,0.7657968471086347,-0.027056697481111947
512,16,2401,2560,0.775,160,159.5256460458013,152.86060070386065,149.71144815531034,0.9553787543991291,0.9384788707411145,-0.016899883658014647
512,17,2561,2720,0.825,160,158.8876253276503,140.10663454630367,146.59616239753086,0.8756664659143979,0.9226405271979325,0.04697406128353465
512,18,2721,2880,0.875,160,161.77716958538986,133.22867540672178,133.79635409362572,0.8326792212920111,0.8270410122548523,-0.005638209037158837
512,19,2881,3040,0.925,160,159.3024035531389,168.7537964651624,156.38682005982446,1.054711227907265,0.9816978060074161,-0.07301342189984894
512,20,3041,3200,0.975,160,165.71326289011222,155.0514220662867,160.1938532754648,0.9690713879142919,0.9666930122647609,-0.002378375649531028
