day,cov_name,lat_lon_resolution,lr,stepsize,sigma,range_lat,range_lon,advec_lat,advec_lon,beta,nugget,loss,time,epoch,
2025-07-13,Vecc_b2,1250,0.015,20,25.78725995,2.251516739,3.754560749,-0.138972878,0.098259521,0.113834175,1.362355976,11353.30371,17896.65369,881,b2=0.8
2025-07-13,Vecc_b2,1250,0.02,20,24.37496918,2.129235634,3.54367758,-0.139620477,0.097806359,0.120833768,1.360349654,11354.37204,1922.71602,94,b2=0.8
2025-07-13,Vecc_b2,1250,0.025,20,25.70912698,2.243676975,3.739943486,-0.139477188,0.099383796,0.114422189,1.361496269,11353.37415,3421.235323,168,b2=0.8
2025-07-13,Vecc_b2,1250,0.03,20,26.73322789,2.333107816,3.892934114,-0.138732669,0.099917709,0.110222515,1.362295586,11352.72843,4392.662998,215,b2=0.8
2025-07-13,Vecc_b2,1250,0.015,40,28.74080488,2.508026719,4.187703853,-0.138874689,0.098918893,0.102153239,1.362441343,11351.68839,32121.74243,1602,b2=0.8
2025-07-13,Vecc_b2,1250,0.02,40,25.69798019,2.241977019,3.740530668,-0.140091801,0.097127612,0.114743332,1.362088818,11353.38409,3437.37097,169,b2=0.8
2025-07-13,Vecc_b2,1250,0.025,40,27.64720214,2.410153199,4.023870484,-0.138945608,0.096563434,0.105690309,1.360509293,11352.22948,5159.464062,253,b2=0.8
2025-07-13,Vecc_b2,1250,0.03,40,28.59581288,2.493510996,4.162055483,-0.138521195,0.099746233,0.101961723,1.362278691,11351.77388,5237.289515,259,b2=0.8
2025-07-13,Vecc_b2,1250,0.015,60,23.58707802,2.047629026,3.416348152,-0.138329585,0.096930637,0.12653199,1.353737192,11355.09214,1036.298437,50,b2=0.8
2025-07-13,Vecc_b2,1250,0.02,60,29.06948206,2.536383504,4.232020454,-0.13822163,0.098561846,0.100923828,1.36074098,11351.55988,8448.811249,417,b2=0.8
2025-07-13,Vecc_b2,1250,0.025,60,26.32402759,2.296168613,3.829802703,-0.137525612,0.099482269,0.110714954,1.361606859,11352.98948,3129.867397,154,b2=0.8
2025-07-13,Vecc_b2,1250,0.03,60,36.89625037,3.22075491,5.392009166,-0.138515432,0.100891681,0.079475718,1.364570141,11349.36628,18162.78559,905,b2=0.8
2025-07-13,Vecc_b2,1250,0.015,80,23.58707802,2.047629026,3.416348152,-0.138329585,0.096930637,0.12653199,1.353737192,11355.09214,1054.137121,50,b2=0.8
