operator,reorthogonalization,lanczos_steps,n_slq_probes,mode_fraction_rmse,mode_fraction_max_abs_error,energy_per_n_rmse,energy_per_n_max_abs_error,endpoint_energy_relative_error,shape_D_exact,shape_D_lanczos_slq
exact_precision,full,64,32,0.007255418170507633,0.02022716570312111,0.006622585153770921,0.017754030978028225,4.6629367034256575e-15,3.5909941341757916,4.117467402781072
exact_precision,full,128,32,0.0036785094184628897,0.012494247353259658,0.0033146074331192902,0.010426277736728124,6.661338147750939e-15,3.5909941341757916,3.8623817868087555
exact_precision,full,256,32,0.0020669016592732774,0.007335547751433524,0.001667623642372094,0.006654828747309693,3.3306690738754696e-15,3.5909941341757916,3.7606097919876786
exact_precision,full,512,32,0.0015111153579420488,0.005183662103239839,0.0008310214256152239,0.004376568304724344,3.774758283725532e-15,3.5909941341757916,3.7135675759560725
subset_vecchia_precision,full,64,32,0.007178703461405965,0.016581467603443367,0.00659385741569355,0.01720098461446369,6.661338147750939e-16,4.150281717094872,4.6140546091401395
subset_vecchia_precision,full,128,32,0.00352249068721259,0.009359708560885138,0.0032843473683025395,0.010111549277915657,1.3322676295501878e-15,4.150281717094872,4.373261348725992
subset_vecchia_precision,full,256,32,0.0018978880640461912,0.005317920500082618,0.0016515181614227153,0.0072570768296832,3.774758283725532e-15,4.150281717094872,4.288911064297384
subset_vecchia_precision,full,512,32,0.0012853729649358327,0.0036139799284464202,0.0008221407759449679,0.004174175750578257,2.220446049250313e-16,4.150281717094872,4.253629516263664
exact_precision,none,64,32,0.007255418170507622,0.020227165703120664,0.006622585153770961,0.01775403097802844,4.6629367034256575e-15,3.5909941341757916,4.117467402781015
exact_precision,none,128,32,0.0036785094184630393,0.012494247353249444,0.0033146074331192863,0.010426277736721801,1.9984014443252818e-15,3.5909941341757916,3.8623817868088417
exact_precision,none,256,32,0.002055515361317161,0.007187434143100857,0.0017047058858299638,0.006052605366580863,1.5543122344752192e-15,3.5909941341757916,3.7412059619382374
exact_precision,none,512,32,0.0015114145128453645,0.005288658191823559,0.0008433098171014423,0.005332687458358123,1.1102230246251565e-15,3.5909941341757916,3.7072768184431304
subset_vecchia_precision,none,64,32,0.007178703461405972,0.016581467603443478,0.00659385741569355,0.01720098461446483,8.881784197001252e-16,4.150281717094872,4.614054609140121
subset_vecchia_precision,none,128,32,0.0035227100653594176,0.009354843998602258,0.0032843484954229877,0.01011167239002333,3.1086244689504383e-15,4.150281717094872,4.37319688791049
subset_vecchia_precision,none,256,32,0.0018760323405037289,0.005249579946676741,0.0016471264761183694,0.007029836110488077,1.1102230246251565e-16,4.150281717094872,4.286456410241976
subset_vecchia_precision,none,512,32,0.0012944064381327557,0.003692607952736182,0.0008501843646348019,0.005732506246776126,7.771561172376096e-16,4.150281717094872,4.26594654116483
