band,rank_start,rank_end,rank_fraction_lo,rank_fraction_hi,expected_exact_energy_per_mode_under_exact_K,expected_vecchia_energy_per_mode_under_exact_K
1,1,160,0.0,0.05,1.0,1.1132836698599988
2,161,320,0.05,0.1,1.0,1.003265588062193
3,321,480,0.1,0.15,1.0,0.9666948795764092
4,481,640,0.15,0.2,1.0,0.9465661739783136
5,641,800,0.2,0.25,1.0,0.9353241846011052
6,801,960,0.25,0.3,1.0,0.936450204325159
7,961,1120,0.3,0.35,1.0,0.9438711168105041
8,1121,1280,0.35,0.4,1.0,0.9511922962255565
9,1281,1440,0.4,0.45,1.0,0.9620634419188996
10,1441,1600,0.45,0.5,1.0,0.9712887391435228
11,1601,1760,0.5,0.55,1.0,0.9819314335335871
12,1761,1920,0.55,0.6,1.0,0.9954063372524049
13,1921,2080,0.6,0.65,1.0,1.005758873585474
14,2081,2240,0.65,0.7,1.0,1.0146244050047655
15,2241,2400,0.7,0.75,1.0,1.0225361452489574
16,2401,2560,0.75,0.8,1.0,1.032162360016165
17,2561,2720,0.8,0.85,1.0,1.0357018363795987
18,2721,2880,0.85,0.9,1.0,1.0447417556666025
19,2881,3040,0.9,0.95,1.0,1.0573681973209301
20,3041,3200,0.95,1.0,1.0,1.0913507393972193
