replicate,curve_rmse_per_n,curve_max_abs_per_n,endpoint_difference_per_n,band_energy_per_mode_rmse,band_energy_per_mode_max_abs
1,0.012582068406638898,0.03145056254695547,-0.002330177067196075,0.1689344842205396,0.3671266992099378
2,0.008073552180336393,0.026550946736220594,-0.004832198031345456,0.13490796124039314,0.3419044811184989
3,0.010514217053424027,0.030222693358321565,-0.00273979498717452,0.11684297602637257,0.28150665594585456
4,0.007410605715377225,0.02149015038113319,0.004584840003333142,0.09031303368290458,0.1708734176979987
5,0.012350316142942961,0.032389585718866985,-0.002657812247478404,0.1070813275527686,0.21489506511949596
6,0.007463466258828004,0.01706771516067661,-0.0019413965583090942,0.12507058531504509,0.2292340889349822
7,0.0154311155718384,0.03343372060131962,0.005194108017151109,0.13128644741709064,0.22447997050174107
8,0.011695793658477255,0.02593892957802353,0.0018403120193782741,0.10519889388746492,0.20696067459332412
9,0.012626575634452077,0.03318297064955104,-0.001961225903663859,0.16433342260190292,0.3984433233652054
10,0.010596889883653348,0.027306866746253034,-0.005061209122931132,0.10298264201550038,0.22606089547922126
11,0.011143767978726798,0.024749256190756127,0.0032026610579809754,0.12049469467352547,0.28964718946733115
12,0.01116319901706163,0.025627985323750054,-0.002689396667579587,0.10963552049124047,0.27606966230569696
13,0.01167027489727824,0.026478093794641496,-0.004292742038327759,0.1542326974706476,0.3356824878197201
14,0.009776270137711159,0.024371915117764473,0.0002601069121396904,0.11200423590629427,0.25971951695501894
15,0.010134183408124293,0.02966890809671952,0.004070165462945709,0.14917364141420383,0.37980847135150464
16,0.010078041174237445,0.024383213818497607,9.527863476833431e-05,0.10774996518364945,0.21986664671972111
17,0.00964751804381683,0.022992350202931888,0.0005549622541263943,0.1700351835253498,0.38499932009560955
18,0.012020204288155117,0.02942121932045147,-0.0014464577743551388,0.10887617398977213,0.21244581969163479
19,0.011261934074818826,0.02849153229403754,-0.0027612384558781855,0.10059152049801237,0.22467714640356007
20,0.009999127083749615,0.02601040780960844,-0.0025088706536251946,0.11202214338744909,0.23248349541756652
21,0.011726470774519547,0.027383856519906685,0.0033786144046099764,0.09672331394738737,0.21800048270202932
22,0.012784467385803392,0.026395592694608824,-0.0013717953393299353,0.09912739623376733,0.17497064455644562
23,0.007800885943309728,0.022821975290510395,0.0032763963833869524,0.09472223966661239,0.19795079756615253
24,0.010206397789777609,0.022337686607398835,0.0036592865367033765,0.14995060137892116,0.41248537085660697
25,0.013691274735768654,0.0319492506637495,-0.0009554776479937743,0.12588011200352262,0.2714273034790238
26,0.009194204707958951,0.021843310133788093,-0.0016482496942927583,0.12402019114088342,0.2737718611521096
27,0.0075632236397194744,0.022710853696928126,-0.00448596772968628,0.15994387441104163,0.3129220494947961
28,0.009930388378521376,0.0243316447909568,0.0016418296984383573,0.1177215959716172,0.2755700883702974
29,0.012784279750393472,0.0247318393986707,-0.006515844237804629,0.11111174283547041,0.2031313941915709
30,0.01052346617487446,0.024386371344113728,0.004339973930703138,0.10334966471147294,0.2615141163355357
31,0.009786642025150439,0.023987747675599778,-0.00010519213370670855,0.11509567785628508,0.2574736290535007
32,0.012322440029043938,0.03465995239094781,0.001848615790774204,0.13453872059155744,0.2970782121341513
33,0.013386864415963103,0.028420092583074704,-0.0025881206778883836,0.09755253496969238,0.21367845885861425
34,0.013199790001287175,0.029170973029625315,0.0014811971806851431,0.12984372608372416,0.26507946523442427
35,0.010966457072855776,0.028497562146953186,0.010496483364274667,0.11401189070767029,0.21128028950566802
36,0.0072946043278890454,0.01939172444688431,0.0014042240539926354,0.08004519022466247,0.16430913498542343
37,0.00956791114403241,0.02609009672881001,-0.001525061724318988,0.0942292025789466,0.15703803085028278
38,0.009871056009226697,0.024863784271410765,-0.0027001759321092322,0.09585261502078547,0.19564601450972696
39,0.009084210880805348,0.022429286474879292,0.006147580808849398,0.1275618683594764,0.2891839274232624
40,0.010213407348042877,0.026258810647390832,-0.0015269572344215022,0.1512133856691412,0.4040338811916062
41,0.008517624337039422,0.02361189283372646,0.008318983986126653,0.14313733432885087,0.32125924392135996
42,0.008309113428805033,0.0245018735248059,-0.0015323000927786267,0.11055502546799056,0.310764689270032
43,0.014060368118426559,0.029714778153560956,-0.0016444119772855003,0.14260571508991926,0.2884669546183112
44,0.009938187561565757,0.022449372440624414,0.00014129766870979666,0.15490432879916524,0.3537672764750165
45,0.013766745192035024,0.03342714041460191,0.001991974986697187,0.10862480139304574,0.22093597825833777
46,0.01231646901290405,0.026382857461347272,0.0016506631656687887,0.11425889284645302,0.2442161734617998
47,0.012120038126413423,0.028192689996257344,-0.00250832503901691,0.14059038804911955,0.3219519511040919
48,0.012370741131119724,0.03035259148511301,-0.00037103758963155545,0.1326388501674818,0.24492843060298353
49,0.013050426682692734,0.02925246503657725,-0.0002086485718575659,0.10709795632331855,0.23171544242566244
50,0.01214137369093664,0.02715194182012759,0.004427323339244254,0.09518539296672834,0.18714519525349382
51,0.010545682989509367,0.02935735782888699,0.0005355523519513383,0.11885180962176929,0.2331717563859288
52,0.011352006241782484,0.0240152581989085,0.004736500463875614,0.12086653251459,0.20497562647919088
53,0.009498746302945114,0.02318228696163864,-0.0048049886209619785,0.12710775410537206,0.2351995680236787
54,0.008264359589095119,0.02065073099585426,-0.00231409727858761,0.16607244162528442,0.345319250826149
55,0.014570897217439576,0.028551718969859082,0.0033026840891675134,0.12341132319778955,0.2696728620474711
56,0.011432611890460657,0.027277054542860953,-0.0007692749159132007,0.12118088304591945,0.2569199097374393
57,0.015638586970629594,0.030120673953627844,0.0001928184806530453,0.11354068173327671,0.23563212411972423
58,0.014170750016677036,0.03322591172998585,-0.003958727565158,0.11674450815471435,0.22447560460333182
59,0.009526565765893993,0.021881272494821646,0.005634146637376745,0.11554581729337604,0.20092726039426756
60,0.010875790705541588,0.030463856441516057,0.004972362798434204,0.1191379843673131,0.3649578532576552
61,0.010038688119076152,0.023701631189648964,0.002161965494603919,0.0952301788560059,0.21331769970876768
62,0.011456891207030024,0.029398129263394992,0.0030074420419296645,0.17033017848296314,0.34683332162932645
63,0.006370218339304849,0.01750128089434014,-0.001657539278528901,0.07634764897693294,0.2211156688677408
64,0.01036486183859135,0.023231560842825374,0.0021850071530596436,0.14150661859336716,0.36692550177276506
