band,rank_start,rank_end,normalized_projector_frobenius_distance,mean_squared_canonical_correlation,principal_angle_median_deg,principal_angle_max_deg
1,1,160,0.26567907323612017,0.9294146300443963,8.714961919808747,89.58788447437215
2,161,320,0.44059303188974985,0.8058777802501979,18.748150187832106,89.92497907841843
3,321,480,0.5509356468346741,0.6964699130468592,26.509469636274737,89.78533632940727
4,481,640,0.6394313693196614,0.5911275239299828,34.38361525068437,89.58390680281293
5,641,800,0.7073001024404048,0.499726565087793,41.1152974091365,89.92532783899085
6,801,960,0.7499556021278974,0.43756659483698296,46.218308715165975,89.9029538137566
7,961,1120,0.7673810919775725,0.41112625967530836,48.602217092023736,89.9731752803381
8,1121,1280,0.7811951801962543,0.3897340904381416,50.12624320753491,89.70825248178058
9,1281,1440,0.8037599541918636,0.3539699360374932,54.00806561552717,89.93782354532689
10,1441,1600,0.8223402952809755,0.32375643875719806,56.92875901313629,89.79417733830913
11,1601,1760,0.8395514716790782,0.29515332640149394,59.86680853029237,89.95904211240949
12,1761,1920,0.839212334663244,0.29572265734906733,59.42060842443306,89.95827583853207
13,1921,2080,0.8353143797858681,0.3022498869229505,60.259776053245716,89.89888593821443
14,2081,2240,0.8213643387868834,0.3253606229691859,58.2037763049877,89.86790324348286
15,2241,2400,0.8198975343955334,0.32776803309212516,58.58414627756932,89.99297878694536
16,2401,2560,0.8164605602429754,0.33339215356772667,58.19445693215461,89.99516308874789
17,2561,2720,0.7947077247513982,0.368439632220456,54.44408021835588,89.99540736799999
18,2721,2880,0.7891141219082349,0.3772989026049954,53.37740493222536,89.99855488606497
19,2881,3040,0.7674296972875846,0.41105165972108626,51.102827939772624,89.98652337801902
20,3041,3200,0.6098797547397701,0.628046684758558,26.87624228579505,89.99998840577487
