k,heldout_day_count,projected_dimension,training_cumulative_kl,training_cumulative_kl_fraction,heldout_oracle_kl,heldout_null_expected_llr,observed_llr,null_critical,bootstrap_p_value,oracle_power,p_value_mc_se,power_mc_se,null_exceedances,alternative_rejections,minimum_heldout_eigenvalue,maximum_heldout_eigenvalue,replicates,alpha,master_random_seed,derived_k_seed
1,2,2,0.0547564573979,0.0263245584879,0.106770461339,-0.0800821709762,0.67556111238,0.608681949152,0.0414391712166,0.14522,0.000891304346248,0.0015756341682,2071,7261,1.49637412427,1.57353886964,50000,0.05,20260922,125539261
2,2,4,0.0990006792343,0.0475952845508,0.19814002411,-0.150082521918,0.741684229332,0.778203108188,0.055078898422,0.1826,0.00102023695764,0.00172775715886,2753,9130,1.47633134457,1.57353887672,50000,0.05,20260922,2554522836
4,2,8,0.1782215843,0.0856813012139,0.360205081151,-0.276065104333,0.83284227725,0.954393542932,0.0643787124258,0.2334,0.0010975690334,0.00189168940368,3218,11670,1.44259274019,1.57358905926,50000,0.05,20260922,2830039825
8,2,16,0.268555362668,0.129109911192,0.522975642433,-0.411692810191,0.00708893999851,1.05957463764,0.273534529309,0.2858,0.00199353663822,0.00202048687202,13676,14290,1.28211898919,1.57364961437,50000,0.05,20260922,874076425
12,2,24,0.33830520049,0.162642644544,0.650089192029,-0.528049954283,0.739307050038,1.1427786759,0.0964580708386,0.31238,0.00132024367725,0.00207267332496,4822,15619,0.78494381393,1.57365140061,50000,0.05,20260922,1692250079
20,2,40,0.444366900299,0.213632565234,0.825218272806,-0.703429929914,1.41501043184,1.19347769795,0.0347793044139,0.36604,0.000819378215695,0.00215431993167,1738,18302,0.781705772271,1.57371983104,50000,0.05,20260922,2835884842
40,2,80,0.638842929197,0.307128306933,1.09991151357,-0.985892921079,1.5394333833,1.26031332236,0.0339593208136,0.4364,0.000810005299179,0.00221790459669,1697,21820,0.78150337406,1.57414912175,50000,0.05,20260922,1765415841
80,2,160,0.914775289618,0.439784762551,1.4370081446,-1.34354790961,0.71830249177,1.29931265247,0.0973180536389,0.51678,0.0013254847654,0.00223480841058,4865,25839,0.779997294694,1.57425151509,50000,0.05,20260922,3643287281
100,2,200,1.02194176893,0.491305813886,1.59457679076,-1.51377680465,0.893516217018,1.31156763578,0.0801583968321,0.54674,0.00121434388555,0.00222627658839,4007,27337,0.779046693442,1.57438237035,50000,0.05,20260922,3069876158
200,2,400,1.41953125039,0.682449800484,2.1491032492,-2.08567100956,2.15812500124,1.27374066551,0.0184796304074,0.65802,0.000602291804892,0.00212146024992,923,32901,0.77259191078,1.57490372798,50000,0.05,20260922,565538076
350,2,700,1.81191324035,0.8710902483,2.84094461004,-2.78502952351,2.04180319386,1.04048286213,0.0195196096078,0.7675,0.000618679427237,0.00188914663274,975,38375,0.763118839163,1.5766811981,50000,0.05,20260922,3722217779
800,2,1600,2.08005226082,1,5.04553422818,-4.97964581442,3.35529703226,0.191258830499,0.0042599148017,0.93586,0.000291262187519,0.001095682987,212,46793,0.746817124301,1.63848659235,50000,0.05,20260922,2234748752
