design,time_idx,time_key,cluster_id,cluster_size,max_abs,mean_abs,mean_signed,n_positive,n_negative,lat_min,lat_max,lon_min,lon_max,row_min,row_max,col_min,col_max
hour_lat,7,2024_07_y24m07day14_hm07:48,1,5,77.6564530003157,25.424062009923823,5.638519190202456,1,4,-2.444000000000004,-2.400000000000004,127.15700000000074,127.28300000000071,12,13,97,99
hour_lat,3,2024_07_y24m07day14_hm03:53,5,4,24.34418787453115,11.705760566070863,3.310798365933511,2,2,-1.432000000000003,-1.344000000000003,121.04600000000188,121.10900000000187,35,37,0,1
hour_lat,0,2024_07_y24m07day14_hm00:53,9,4,18.117463014501173,12.35402639115718,5.3388111119687505,2,2,-1.1680000000000028,-1.0800000000000027,121.9910000000017,122.0540000000017,41,43,15,16
hour_lat,0,2024_07_y24m07day14_hm00:53,1,3,32.759768157416985,16.01957884981775,5.820266588460239,1,2,-2.7960000000000043,-2.752000000000004,128.66900000000044,128.73200000000043,4,5,121,122
hour_lat,2,2024_07_y24m07day14_hm02:53,4,2,21.987504513400264,17.21413079816693,4.773373715233332,1,1,-1.476000000000003,-1.432000000000003,121.23500000000185,121.23500000000185,34,35,3,3
hour_lat,1,2024_07_y24m07day14_hm01:53,21,2,15.1705143334692,10.244719302520554,4.925795030948645,1,1,1.7799999999999998,1.8239999999999998,124.88900000000116,124.88900000000116,108,109,61,61
hour_lat,4,2024_07_y24m07day14_hm04:48,3,2,7.569278035051395,6.66422056798379,6.66422056798379,2,0,-1.256000000000003,-1.256000000000003,121.4870000000018,121.55000000000179,39,39,7,8
hour_lat,3,2024_07_y24m07day14_hm03:53,7,2,6.980099258457925,6.162173856279323,6.162173856279323,2,0,-1.256000000000003,-1.256000000000003,121.4870000000018,121.55000000000179,39,39,7,8
hour_lat,3,2024_07_y24m07day14_hm03:53,3,2,6.086188362272477,5.926207034505225,-0.15998132776725127,1,1,-1.7400000000000033,-1.6960000000000033,124.76300000000118,124.76300000000118,28,29,59,59
hour_lat,0,2024_07_y24m07day14_hm00:53,8,2,6.072298365835584,5.8993627169469836,5.8993627169469836,2,0,-1.300000000000003,-1.300000000000003,126.08600000000094,126.14900000000092,38,38,80,81
hour_lat,6,2024_07_y24m07day14_hm06:48,6,2,5.950293419442767,5.787912427819835,5.787912427819835,2,0,-1.0800000000000027,-1.0360000000000027,123.18800000000148,123.18800000000148,43,44,34,34
hour_lat,6,2024_07_y24m07day14_hm06:48,10,2,5.6758980329651,5.485681246463171,0.19021678650192886,1,1,-0.8600000000000025,-0.8600000000000025,123.18800000000148,123.25100000000147,48,48,34,35
hour_lat,2,2024_07_y24m07day14_hm02:53,14,1,9.823855717710414,9.823855717710414,9.823855717710414,1,0,1.2959999999999994,1.2959999999999994,124.63700000000121,124.63700000000121,97,97,57,57
hour_lat,1,2024_07_y24m07day14_hm01:53,20,1,9.122704798325783,9.122704798325783,9.122704798325783,1,0,1.0319999999999991,1.0319999999999991,124.38500000000126,124.38500000000126,91,91,53,53
hour_lat,3,2024_07_y24m07day14_hm03:53,16,1,8.113709266134977,8.113709266134977,8.113709266134977,1,0,0.6359999999999988,0.6359999999999988,124.00700000000133,124.00700000000133,82,82,47,47
hour_lat,0,2024_07_y24m07day14_hm00:53,12,1,7.585779404868078,7.585779404868078,7.585779404868078,1,0,0.06399999999999824,0.06399999999999824,125.771000000001,125.771000000001,69,69,75,75
hour_lat,3,2024_07_y24m07day14_hm03:53,8,1,7.538788967655585,7.538788967655585,7.538788967655585,1,0,-1.1680000000000028,-1.1680000000000028,121.4870000000018,121.4870000000018,41,41,7,7
hour_lat,6,2024_07_y24m07day14_hm06:48,16,1,7.4876939811411996,7.4876939811411996,7.4876939811411996,1,0,0.899999999999999,0.899999999999999,122.0540000000017,122.0540000000017,88,88,16,16
hour_lat,2,2024_07_y24m07day14_hm02:53,21,1,7.435510038882496,7.435510038882496,7.435510038882496,1,0,1.956,1.956,122.24300000000166,122.24300000000166,112,112,19,19
hour_lat,0,2024_07_y24m07day14_hm00:53,2,1,7.409109257610793,7.409109257610793,7.409109257610793,1,0,-1.8720000000000034,-1.8720000000000034,123.50300000000142,123.50300000000142,25,25,39,39
hour_lat,3,2024_07_y24m07day14_hm03:53,20,1,7.3620937705508265,7.3620937705508265,7.3620937705508265,1,0,1.2519999999999993,1.2519999999999993,121.10900000000187,121.10900000000187,96,96,1,1
hour_lat,4,2024_07_y24m07day14_hm04:48,6,1,7.293893976496544,7.293893976496544,7.293893976496544,1,0,-0.2880000000000021,-0.2880000000000021,124.1330000000013,124.1330000000013,61,61,49,49
hour_lat,2,2024_07_y24m07day14_hm02:53,1,1,7.054127519680201,7.054127519680201,7.054127519680201,1,0,-2.8840000000000043,-2.8840000000000043,129.17300000000034,129.17300000000034,2,2,129,129
hour_lat,1,2024_07_y24m07day14_hm01:53,3,1,6.74956928897263,6.74956928897263,6.74956928897263,1,0,-2.0920000000000036,-2.0920000000000036,123.18800000000148,123.18800000000148,20,20,34,34
hour_lat,7,2024_07_y24m07day14_hm07:48,5,1,6.717004417474261,6.717004417474261,-6.717004417474261,0,1,1.7799999999999998,1.7799999999999998,127.15700000000074,127.15700000000074,108,108,97,97
hour_lat,6,2024_07_y24m07day14_hm06:48,17,1,6.679915986453721,6.679915986453721,6.679915986453721,1,0,1.0319999999999991,1.0319999999999991,121.10900000000187,121.10900000000187,91,91,1,1
hour_lat,5,2024_07_y24m07day14_hm05:48,5,1,6.665861359378924,6.665861359378924,6.665861359378924,1,0,-0.200000000000002,-0.200000000000002,121.61300000000178,121.61300000000178,63,63,9,9
