design,time_idx,time_key,point_idx,grid_row,grid_col,grid_lat,grid_lon,source_lat,source_lon,centered_o3,whitened_resid,abs_whitened_resid,sign
hour_lat,7,2024_07_y24m07day14_hm07:48,15960,13,98,-2.400000000000004,127.22000000000072,-2.4096167,127.16652,131.52866957476863,77.6564530003157,77.6564530003157,1
hour_lat,0,2024_07_y24m07day14_hm00:53,17208,5,122,-2.752000000000004,128.73200000000043,-2.7502153,128.75035,49.71008957476863,32.759768157416985,32.759768157416985,1
hour_lat,3,2024_07_y24m07day14_hm03:53,12401,36,0,-1.388000000000003,121.04600000000188,-1.3935966,121.01536,44.512689574768615,24.34418787453115,24.34418787453115,1
hour_lat,2,2024_07_y24m07day14_hm02:53,12557,35,3,-1.432000000000003,121.23500000000185,-1.4527593,121.20431,34.551559574768646,21.987504513400264,21.987504513400264,1
hour_lat,0,2024_07_y24m07day14_hm00:53,11272,43,16,-1.0800000000000027,122.0540000000017,-1.0887979,122.039696,32.23938957476861,18.117463014501173,18.117463014501173,1
hour_lat,7,2024_07_y24m07day14_hm07:48,15961,13,97,-2.400000000000004,127.15700000000074,-2.4095526,127.10411,0.6635895747685936,-17.78957852500537,17.78957852500537,-1
hour_lat,0,2024_07_y24m07day14_hm00:53,11591,41,15,-1.1680000000000028,121.9910000000017,-1.1754555,121.975334,30.932049574768598,17.26821199175069,17.26821199175069,1
hour_lat,7,2024_07_y24m07day14_hm07:48,16119,12,98,-2.444000000000004,127.22000000000072,-2.4530432,127.16593,3.485149574768627,-16.07316111677035,16.07316111677035,-1
hour_lat,1,2024_07_y24m07day14_hm01:53,733,109,61,1.8239999999999998,124.88900000000116,1.8248155,124.881485,26.933059574768606,15.1705143334692,15.1705143334692,1
hour_lat,2,2024_07_y24m07day14_hm02:53,12716,34,3,-1.476000000000003,121.23500000000185,-1.474489,121.20397,-6.347000425231386,-12.4407570829336,12.4407570829336,-1
hour_lat,3,2024_07_y24m07day14_hm03:53,12560,35,0,-1.432000000000003,121.04600000000188,-1.4370576,121.014694,-4.822160425231374,-11.262864224865242,11.262864224865242,-1
hour_lat,2,2024_07_y24m07day14_hm02:53,2645,97,57,1.2959999999999994,124.63700000000121,1.2983615,124.616684,14.34382957476862,9.823855717710414,9.823855717710414,1
