design,feature,beta
hour_lat,intercept,-0.22963565306061967
hour_lat,lat_c,1.3825681143428128
hour_lat,D1,-0.16942063080535322
hour_lat,D2,-0.5258778952197735
hour_lat,D3,-0.3351881642087688
hour_lat,D4,-0.008391931731242391
hour_lat,D5,0.7396146636578894
hour_lat,D6,1.2436555063603645
hour_lat,D7,3.6076800976321652
hour_latlon,intercept,-0.21856133617936488
hour_latlon,lat_c,1.3823607930973947
hour_latlon,lon_c,0.3430088942191291
hour_latlon,D1,-0.15501709343807318
hour_latlon,D2,-0.501055785356794
hour_latlon,D3,-0.30389895556995855
hour_latlon,D4,0.02641922529142926
hour_latlon,D5,0.7761684911120788
hour_latlon,D6,1.28043240486666
hour_latlon,D7,3.643552755549504
hour_quadratic,intercept,-0.8766353455105899
hour_quadratic,lat_c,1.4108678380253932
hour_quadratic,lon_c,0.3503593304620693
hour_quadratic,lat_c2,0.15485686555071151
hour_quadratic,lat_lon_c,0.27186903032097626
hour_quadratic,lon_c2,0.027432304252774882
hour_quadratic,D1,-0.15862465899338196
hour_quadratic,D2,-0.5028894328974349
hour_quadratic,D3,-0.30329998384842777
hour_quadratic,D4,0.02962804638853524
hour_quadratic,D5,0.781308959495948
hour_quadratic,D6,1.2905410572225504
hour_quadratic,D7,3.661231094640201
hour_spatial,H0,-0.22103097714452793
hour_spatial,H1,-0.3899962549485295
hour_spatial,H2,-0.7370591126872639
hour_spatial,H3,-0.5367234282694727
hour_spatial,H4,-0.20084644525784412
hour_spatial,H5,0.5571849171034035
hour_spatial,H6,1.0777009234413182
hour_spatial,H7,3.4465166791522
hour_spatial,H0:lat_c,1.4502571555255337
hour_spatial,H1:lat_c,1.4694125449131004
hour_spatial,H2:lat_c,1.4363417867022041
hour_spatial,H3:lat_c,1.3078363164467197
hour_spatial,H4:lat_c,1.2770105986559812
hour_spatial,H5:lat_c,1.3040899262672798
hour_spatial,H6:lat_c,1.4259578267147843
hour_spatial,H7:lat_c,1.381264951176441
hour_spatial,H0:lon_c,-0.058921737327863856
hour_spatial,H1:lon_c,0.11535949273159352
hour_spatial,H2:lon_c,0.19743288012780763
hour_spatial,H3:lon_c,0.2316870830590921
hour_spatial,H4:lon_c,0.3294907210808951
hour_spatial,H5:lon_c,0.5538822498393087
hour_spatial,H6:lon_c,0.5456023043243946
hour_spatial,H7:lon_c,0.6776854837686748
