design,n_features,fixed_cov_nll,total_n,resid_rmse,resid_mae,resid_mean,finite_rate
hour_lat,9,1.0696360306865367,144078,3.387762210219603,2.756506367552603,0.008002069831637412,0.9935865607414763
hour_latlon,10,1.0694321431366738,144078,3.251405434797506,2.60203249965583,-0.0298742255935448,0.9935865607414763
hour_quadratic,13,1.0690632002395624,144078,2.9527880014435883,2.338864312697886,0.07939000077808803,0.9935865607414763
hour_spatial,24,1.0690940903068464,144078,3.1742763661044116,2.534788763153479,-0.026404930922628037,0.9935865607414763
