design,n_features,fixed_cov_nll,total_n,assigned,duplicates,finite,finite_rate,wresid_mean,wresid_sd,wresid_rmse,wresid_mae,wresid_skew,wresid_excess_kurtosis
hour_lat,9,1.0696360306865367,144078,144078,0,144078,0.9935865607414763,-0.004775488729771854,0.9999862100359487,0.999997612774485,0.7031935598269706,4.049445400332653,270.5885521442939
hour_latlon,10,1.069432143136674,144078,144078,0,144078,0.9935865607414763,-0.004638029927156526,0.9997829460104516,0.999793703948441,0.7026349437589647,4.061713222565965,270.8484445883427
hour_quadratic,13,1.0690632002395624,144078,144078,0,144078,0.9935865607414763,-0.004180429083072924,0.9994158737349541,0.9994246167974453,0.702185488710485,4.06472517120491,271.228260453042
hour_spatial,24,1.0690940903068467,144078,144078,0,144078,0.9935865607414763,-0.00461713902232652,0.9994448593206816,0.99945552417068,0.7022020181620688,4.0708949917642245,271.14859954400066
