design,n_features,fixed_cov_nll,total_n,assigned,duplicates,finite,finite_rate,wresid_mean,wresid_sd,wresid_rmse,wresid_mae,wresid_skew,wresid_excess_kurtosis,n_complete_grid,slot_mean_sd,pc1_share,pc2_share,pc3_share,pc4_share,pc1_poly5_r2,mean_wresid_poly5_r2
hour_lat,9,1.0696360306865367,144078,144078,0,144078,0.9935865607414763,-0.004775488729771854,0.9999862100359487,0.999997612774485,0.7031935598269706,4.049445400332653,270.5885521442939,17529,0.010094379521994285,0.17160972970425195,0.14359040230417233,0.12877398419685335,0.1233349481671039,0.004685923192815911,0.0053448692238529105
hour_latlon,10,1.069432143136674,144078,144078,0,144078,0.9935865607414763,-0.004638029927156526,0.9997829460104516,0.999793703948441,0.7026349437589647,4.061713222565965,270.8484445883427,17529,0.010197573626158354,0.17115226646107215,0.14360756890320933,0.1288244414326948,0.12339956900678861,0.00255376699545784,0.0028293004626727125
hour_quadratic,13,1.0690632002395624,144078,144078,0,144078,0.9935865607414763,-0.004180429083072924,0.9994158737349541,0.9994246167974453,0.702185488710485,4.06472517120491,271.228260453042,17529,0.010095575512793869,0.1711744215291808,0.1437080369835579,0.12882160516697722,0.12347520869153338,0.0027314209040441018,0.0028033240589695474
hour_spatial,24,1.0690940903068467,144078,144078,0,144078,0.9935865607414763,-0.00461713902232652,0.9994448593206816,0.99945552417068,0.7022020181620688,4.0708949917642245,271.14859954400066,17529,0.010300251667438877,0.17112780148893783,0.14357791725623267,0.12887990508635666,0.12344193811770438,0.0015301979549298128,0.0018602679757870888
