day,hour,minute,hour_key,variant,smooth,unit,unit_label,n_obs,n_eigen,max_abs_bridge_scaled,sum_y2,mean_y2,sigmasq,range,nugget,loss
20220701,0,53,y22m07day01_hm00:53,nugget0,0.300000,tile_r4c4_of_4x4,"tile row 4/4, col 4/4",1160,1158,0.900145,1157.955118,0.999961,8.223297,0.190965,0.000000,1.165539
20220701,0,53,y22m07day01_hm00:53,nugget_free,0.300000,tile_r4c4_of_4x4,"tile row 4/4, col 4/4",1160,1158,0.900141,1157.943985,0.999952,8.223141,0.190956,0.000005,1.158687
20220701,0,53,y22m07day01_hm00:53,nugget0,0.500000,tile_r1c1_of_4x4,"tile row 1/4, col 1/4",1092,1090,2.116712,1091.907967,1.001750,8.230571,0.104438,0.000000,1.239270
20220701,0,53,y22m07day01_hm00:53,nugget_free,0.500000,tile_r1c1_of_4x4,"tile row 1/4, col 1/4",1092,1090,0.879393,1094.496909,1.004126,7.625565,0.187085,1.280550,1.185570
20220701,0,53,y22m07day01_hm00:53,nugget0,0.500000,tile_r1c2_of_4x4,"tile row 1/4, col 2/4",1119,1117,2.400231,1117.061871,1.000055,8.160396,0.112088,0.000000,1.192371
20220701,0,53,y22m07day01_hm00:53,nugget_free,0.500000,tile_r1c2_of_4x4,"tile row 1/4, col 2/4",1119,1117,0.725065,1116.780335,0.999803,7.990203,0.195067,1.071894,1.156238
20220701,0,53,y22m07day01_hm00:53,nugget0,0.500000,tile_r1c3_of_4x4,"tile row 1/4, col 3/4",1120,1118,2.619955,1118.698738,1.000625,9.300228,0.128409,0.000000,1.202962
20220701,0,53,y22m07day01_hm00:53,nugget_free,0.500000,tile_r1c3_of_4x4,"tile row 1/4, col 3/4",1120,1118,0.729423,1117.671545,0.999706,9.842808,0.269449,1.245205,1.161424
20220701,0,53,y22m07day01_hm00:53,nugget0,0.500000,tile_r1c4_of_4x4,"tile row 1/4, col 4/4",1116,1114,1.861861,1123.521381,1.008547,9.723335,0.139609,0.000000,1.183424
20220701,0,53,y22m07day01_hm00:53,nugget_free,0.500000,tile_r1c4_of_4x4,"tile row 1/4, col 4/4",1116,1114,0.569709,1120.217532,1.005581,10.973293,0.255855,0.916011,1.154270
20220701,0,53,y22m07day01_hm00:53,nugget0,0.500000,tile_r2c1_of_4x4,"tile row 2/4, col 1/4",1130,1128,2.244089,1134.738899,1.005974,6.827098,0.094234,0.000000,1.169131
20220701,0,53,y22m07day01_hm00:53,nugget_free,0.500000,tile_r2c1_of_4x4,"tile row 2/4, col 1/4",1130,1128,0.584946,1130.389163,1.002118,6.263652,0.169380,1.160893,1.137911
20220701,0,53,y22m07day01_hm00:53,nugget0,0.500000,tile_r2c2_of_4x4,"tile row 2/4, col 2/4",1160,1158,2.219543,1162.606806,1.003978,13.043267,0.175662,0.000000,1.246540
20220701,0,53,y22m07day01_hm00:53,nugget_free,0.500000,tile_r2c2_of_4x4,"tile row 2/4, col 2/4",1160,1158,0.527095,1163.702434,1.004924,14.833395,0.363522,1.215216,1.192113
20220701,0,53,y22m07day01_hm00:53,nugget0,0.500000,tile_r2c3_of_4x4,"tile row 2/4, col 3/4",1160,1158,2.360901,1164.299285,1.005440,8.306354,0.121059,0.000000,1.138552
20220701,0,53,y22m07day01_hm00:53,nugget_free,0.500000,tile_r2c3_of_4x4,"tile row 2/4, col 3/4",1160,1158,0.558062,1161.909336,1.003376,8.906950,0.244344,1.091213,1.134271
20220701,0,53,y22m07day01_hm00:53,nugget0,0.500000,tile_r2c4_of_4x4,"tile row 2/4, col 4/4",1121,1119,2.557477,1121.902823,1.002594,11.657664,0.159062,0.000000,1.230363
20220701,0,53,y22m07day01_hm00:53,nugget_free,0.500000,tile_r2c4_of_4x4,"tile row 2/4, col 4/4",1121,1119,0.750925,1123.150392,1.003709,16.264939,0.471172,1.388707,1.180916
20220701,0,53,y22m07day01_hm00:53,nugget0,0.500000,tile_r3c1_of_4x4,"tile row 3/4, col 1/4",1091,1089,0.898424,1089.041457,1.000038,8.048037,0.106274,0.000000,1.213197
20220701,0,53,y22m07day01_hm00:53,nugget_free,0.500000,tile_r3c1_of_4x4,"tile row 3/4, col 1/4",1091,1089,0.562226,1089.640269,1.000588,7.831537,0.136369,0.592524,1.176061
20220701,0,53,y22m07day01_hm00:53,nugget0,0.500000,tile_r3c2_of_4x4,"tile row 3/4, col 2/4",1119,1117,1.959545,1124.901227,1.007074,10.478448,0.148465,0.000000,1.197967
20220701,0,53,y22m07day01_hm00:53,nugget_free,0.500000,tile_r3c2_of_4x4,"tile row 3/4, col 2/4",1119,1117,0.666398,1119.847134,1.002549,10.366543,0.248635,1.033026,1.163084
20220701,0,53,y22m07day01_hm00:53,nugget0,0.500000,tile_r3c3_of_4x4,"tile row 3/4, col 3/4",1120,1118,2.631314,1120.375320,1.002125,7.188283,0.096340,0.000000,1.191119
20220701,0,53,y22m07day01_hm00:53,nugget_free,0.500000,tile_r3c3_of_4x4,"tile row 3/4, col 3/4",1120,1118,0.887915,1115.780856,0.998015,6.581534,0.174999,1.219465,1.152361
20220701,0,53,y22m07day01_hm00:53,nugget0,0.500000,tile_r3c4_of_4x4,"tile row 3/4, col 4/4",1092,1090,2.395726,1090.340757,1.000313,9.225372,0.123688,0.000000,1.220120
20220701,0,53,y22m07day01_hm00:53,nugget_free,0.500000,tile_r3c4_of_4x4,"tile row 3/4, col 4/4",1092,1090,0.687095,1092.433167,1.002232,9.498363,0.253717,1.284595,1.173019
20220701,0,53,y22m07day01_hm00:53,nugget0,0.500000,tile_r4c1_of_4x4,"tile row 4/4, col 1/4",1131,1129,1.426763,1131.468310,1.002186,8.050335,0.102515,0.000000,1.233794
20220701,0,53,y22m07day01_hm00:53,nugget_free,0.500000,tile_r4c1_of_4x4,"tile row 4/4, col 1/4",1131,1129,0.620270,1132.716144,1.003292,7.889278,0.139897,0.704957,1.187903
20220701,0,53,y22m07day01_hm00:53,nugget0,0.500000,tile_r4c2_of_4x4,"tile row 4/4, col 2/4",1157,1155,1.700913,1160.578364,1.004830,8.821946,0.123741,0.000000,1.188535
20220701,0,53,y22m07day01_hm00:53,nugget_free,0.500000,tile_r4c2_of_4x4,"tile row 4/4, col 2/4",1157,1155,0.667085,1156.420171,1.001230,8.837696,0.200454,0.929741,1.156727
20220701,0,53,y22m07day01_hm00:53,nugget0,0.500000,tile_r4c3_of_4x4,"tile row 4/4, col 3/4",1159,1157,2.369924,1158.023899,1.000885,9.211407,0.119950,0.000000,1.236549
20220701,0,53,y22m07day01_hm00:53,nugget_free,0.500000,tile_r4c3_of_4x4,"tile row 4/4, col 3/4",1159,1157,0.731608,1161.099185,1.003543,9.987512,0.224372,1.076931,1.185525
20220701,0,53,y22m07day01_hm00:53,nugget0,0.500000,tile_r4c4_of_4x4,"tile row 4/4, col 4/4",1160,1158,2.269593,1165.584324,1.006550,7.653571,0.102812,0.000000,1.197635
20220701,0,53,y22m07day01_hm00:53,nugget_free,0.500000,tile_r4c4_of_4x4,"tile row 4/4, col 4/4",1160,1158,1.000490,1160.946291,1.002544,7.396942,0.166583,0.976534,1.158870
20220701,0,53,y22m07day01_hm00:53,nugget0,1.000000,tile_r1c1_of_4x4,"tile row 1/4, col 1/4",1092,1090,2.992874,1099.337810,1.008567,7.472406,0.061699,0.000000,2.469617
20220701,0,53,y22m07day01_hm00:53,nugget_free,1.000000,tile_r1c1_of_4x4,"tile row 1/4, col 1/4",1092,1090,0.959100,1098.510053,1.007807,6.755785,0.155135,2.058629,1.252557
20220701,0,53,y22m07day01_hm00:53,nugget0,1.000000,tile_r1c2_of_4x4,"tile row 1/4, col 2/4",1119,1117,3.166773,1127.662896,1.009546,7.324073,0.064126,0.000000,2.327110
20220701,0,53,y22m07day01_hm00:53,nugget_free,1.000000,tile_r1c2_of_4x4,"tile row 1/4, col 2/4",1119,1117,0.792662,1118.572564,1.001408,7.041117,0.158100,1.858942,1.204065
20220701,0,53,y22m07day01_hm00:53,nugget0,1.000000,tile_r1c3_of_4x4,"tile row 1/4, col 3/4",1120,1118,3.731087,1133.557928,1.013916,8.146362,0.068347,0.000000,2.379551
20220701,0,53,y22m07day01_hm00:53,nugget_free,1.000000,tile_r1c3_of_4x4,"tile row 1/4, col 3/4",1120,1118,0.716416,1121.670701,1.003283,8.549617,0.192891,1.977435,1.210388
20220701,0,53,y22m07day01_hm00:53,nugget0,1.000000,tile_r1c4_of_4x4,"tile row 1/4, col 4/4",1116,1114,3.119597,1134.200409,1.018133,7.912696,0.068846,0.000000,2.255889
20220701,0,53,y22m07day01_hm00:53,nugget_free,1.000000,tile_r1c4_of_4x4,"tile row 1/4, col 4/4",1116,1114,0.747891,1130.340084,1.014668,9.239352,0.176488,1.708425,1.189937
20220701,0,53,y22m07day01_hm00:53,nugget0,1.000000,tile_r2c1_of_4x4,"tile row 2/4, col 1/4",1130,1128,3.106092,1146.862195,1.016722,6.286078,0.058309,0.000000,2.257406
20220701,0,53,y22m07day01_hm00:53,nugget_free,1.000000,tile_r2c1_of_4x4,"tile row 2/4, col 1/4",1130,1128,0.707320,1131.124718,1.002770,5.450103,0.143712,1.855759,1.178577
20220701,0,53,y22m07day01_hm00:53,nugget0,1.000000,tile_r2c2_of_4x4,"tile row 2/4, col 2/4",1160,1158,3.637529,1174.605678,1.014340,10.432967,0.078460,0.000000,2.469390
20220701,0,53,y22m07day01_hm00:53,nugget_free,1.000000,tile_r2c2_of_4x4,"tile row 2/4, col 2/4",1160,1158,1.119297,1173.357490,1.013262,12.605120,0.232724,2.094689,1.259020
20220701,0,53,y22m07day01_hm00:53,nugget0,1.000000,tile_r2c3_of_4x4,"tile row 2/4, col 3/4",1160,1158,3.379208,1175.144267,1.014805,7.122918,0.064762,0.000000,2.219648
20220701,0,53,y22m07day01_hm00:53,nugget_free,1.000000,tile_r2c3_of_4x4,"tile row 2/4, col 3/4",1160,1158,0.748709,1165.296015,1.006301,7.662572,0.179882,1.810570,1.165295
20220701,0,53,y22m07day01_hm00:53,nugget0,1.000000,tile_r2c4_of_4x4,"tile row 2/4, col 4/4",1121,1119,3.239649,1133.369853,1.012842,9.348796,0.073212,0.000000,2.457262
20220701,0,53,y22m07day01_hm00:53,nugget_free,1.000000,tile_r2c4_of_4x4,"tile row 2/4, col 4/4",1121,1119,1.250666,1129.678484,1.009543,12.755588,0.261622,2.171955,1.242228
20220701,0,53,y22m07day01_hm00:53,nugget0,1.000000,tile_r3c1_of_4x4,"tile row 3/4, col 1/4",1091,1089,2.176143,1095.787698,1.006233,7.213496,0.063120,0.000000,2.311468
20220701,0,53,y22m07day01_hm00:53,nugget_free,1.000000,tile_r3c1_of_4x4,"tile row 3/4, col 1/4",1091,1089,0.684559,1091.811261,1.002582,6.635201,0.117441,1.550788,1.233972
20220701,0,53,y22m07day01_hm00:53,nugget0,1.000000,tile_r3c2_of_4x4,"tile row 3/4, col 2/4",1119,1117,3.340788,1141.397089,1.021842,9.048504,0.075042,0.000000,1.209403
20220701,0,53,y22m07day01_hm00:53,nugget_free,1.000000,tile_r3c2_of_4x4,"tile row 3/4, col 2/4",1119,1117,0.865695,1128.328371,1.010142,9.105676,0.183847,1.864042,1.210603
20220701,0,53,y22m07day01_hm00:53,nugget0,1.000000,tile_r3c3_of_4x4,"tile row 3/4, col 3/4",1120,1118,3.356291,1132.803758,1.013241,6.609725,0.059046,0.000000,2.320200
20220701,0,53,y22m07day01_hm00:53,nugget_free,1.000000,tile_r3c3_of_4x4,"tile row 3/4, col 3/4",1120,1118,0.646348,1118.457950,1.000410,5.682876,0.144390,1.915016,1.201458
20220701,0,53,y22m07day01_hm00:53,nugget0,1.000000,tile_r3c4_of_4x4,"tile row 3/4, col 4/4",1092,1090,3.660076,1102.791979,1.011736,8.182322,0.067480,0.000000,2.417036
20220701,0,53,y22m07day01_hm00:53,nugget_free,1.000000,tile_r3c4_of_4x4,"tile row 3/4, col 4/4",1092,1090,0.987393,1096.795866,1.006235,7.983426,0.178457,2.007188,1.230308
20220701,0,53,y22m07day01_hm00:53,nugget0,1.000000,tile_r4c1_of_4x4,"tile row 4/4, col 1/4",1131,1129,2.603567,1136.256347,1.006427,7.148952,0.060654,0.000000,2.416775
20220701,0,53,y22m07day01_hm00:53,nugget_free,1.000000,tile_r4c1_of_4x4,"tile row 4/4, col 1/4",1131,1129,0.666526,1138.368145,1.008298,7.002000,0.125923,1.662941,1.246195
20220701,0,53,y22m07day01_hm00:53,nugget0,1.000000,tile_r4c2_of_4x4,"tile row 4/4, col 2/4",1157,1155,2.803229,1172.862377,1.015465,7.759907,0.067862,0.000000,2.276488
20220701,0,53,y22m07day01_hm00:53,nugget_free,1.000000,tile_r4c2_of_4x4,"tile row 4/4, col 2/4",1157,1155,0.750792,1161.321761,1.005473,7.577955,0.154941,1.750182,1.201871
20220701,0,53,y22m07day01_hm00:53,nugget0,1.000000,tile_r4c3_of_4x4,"tile row 4/4, col 3/4",1159,1157,3.263736,1165.051196,1.006959,7.918095,0.064654,0.000000,2.490486
20220701,0,53,y22m07day01_hm00:53,nugget_free,1.000000,tile_r4c3_of_4x4,"tile row 4/4, col 3/4",1159,1157,0.716607,1165.532173,1.007374,8.508689,0.167119,1.921646,1.247789
20220701,0,53,y22m07day01_hm00:53,nugget0,1.000000,tile_r4c4_of_4x4,"tile row 4/4, col 4/4",1160,1158,3.178959,1177.280895,1.016650,6.943685,0.061039,0.000000,2.354187
20220701,0,53,y22m07day01_hm00:53,nugget_free,1.000000,tile_r4c4_of_4x4,"tile row 4/4, col 4/4",1160,1158,0.864049,1166.212698,1.007092,6.647954,0.144990,1.783928,1.152039
